Rank,Probability,Label,SOC code,Occupation,2010 SOC Code,2010 SOC Title,2018 SOC Code,2018 SOC Title
226,0.25,,11-9199,"Managers, all other",11-9199,"Managers, All Other (#)",11-9072,"Entertainment and Recreation Managers, Except Gambling"
226,0.25,,11-9199,"Managers, all other",11-9199,"Managers, All Other (#)",11-9179,"Personal Service Managers, All Other"
226,0.25,,11-9199,"Managers, all other",11-9199,"Managers, All Other (#)",11-9199,"Managers, All Other"
226,0.25,,11-9199,"Managers, all other",11-9199,"Managers, All Other (#)",13-1082,Project Management Specialists (##)
227,0.25,,53-3011,"Ambulance drivers and attendants, except emergency medical technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
228,0.25,,41-4011,"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
229,0.26,,25-2023,"Career/technical education teachers, middle school",25-2023,"Career/Technical Education Teachers, Middle School",25-2023,"Career/Technical Education Teachers, Middle School"
230,0.27,,53-5021,"Captains, mates, and pilots of water vessels",53-5021,"Captains, Mates, and Pilots of Water Vessels",53-5021,"Captains, Mates, and Pilots of Water Vessels"
231,0.27,,31-2012,Occupational therapy aides,31-2012,Occupational Therapy Aides,31-2012,Occupational Therapy Aides
232,0.27,,49-9062,Medical equipment repairers,49-9062,Medical Equipment Repairers,49-9062,Medical Equipment Repairers
233,0.28,,41-1011,First-line supervisors of retail sales workers,41-1011,First-Line Supervisors of Retail Sales Workers,41-1011,First-Line Supervisors of Retail Sales Workers
234,0.28,0.0,27-2021,Athletes and sports competitors,27-2021,Athletes and Sports Competitors,27-2021,Athletes and Sports Competitors
235,0.28,,39-1011,Gaming supervisors,39-1011,Gaming Supervisors,39-1013,First-line Supervisors of Gambling Services Workers (##)
236,0.29,,39-5094,Skincare specialists,39-5094,Skincare Specialists,39-5094,Skincare Specialists
237,0.29,,13-1022,"Wholesale and retail buyers, except farm products",13-1022,"Wholesale and Retail Buyers, Except Farm Products",13-1022,"Wholesale and Retail Buyers, Except Farm Products"
238,0.3,,19-4021,Biological technicians,19-4021,Biological Technicians,19-4021,Biological Technicians
239,0.3,,31-9092,Medical assistants,31-9092,Medical Assistants,31-9092,Medical Assistants
240,0.3,0.0,19-1023,Zoologists and wildlife biologists,19-1023,Zoologists and Wildlife Biologists,19-1023,Zoologists and Wildlife Biologists
241,0.3,,35-2013,"Cooks, private household",35-2013,"Cooks, Private Household",35-2013,"Cooks, Private Household"
242,0.31,,13-1078,"Human resources, training, and labour relations specialists, all other",,,,
243,0.31,,33-9021,Private detectives and investigators,33-9021,Private Detectives and Investigators,33-9021,Private Detectives and Investigators
244,0.31,,27-4032,Film and video editors,27-4032,Film and Video Editors,27-4032,Film and Video Editors
245,0.33,,13-2099,"Financial specialists, all other",13-2099,"Financial Specialists, All Other (#)",13-2054,Financial Risk Specialists (##)
245,0.33,,13-2099,"Financial specialists, all other",13-2099,"Financial Specialists, All Other (#)",13-2099,"Financial Specialists, All Other"
246,0.34,,33-3021,Detectives and criminal investigators,33-3021,Detectives and Criminal Investigators,33-3021,Detectives and Criminal Investigators
247,0.34,,29-2055,Surgical technologists,29-2055,Surgical Technologists,29-2055,Surgical Technologists
248,0.34,,29-1124,Radiation therapists,29-1124,Radiation Therapists,29-1124,Radiation Therapists
249,0.35,0.0,47-2152,"Plumbers, pipefitters, and steamfitters",47-2152,"Plumbers, Pipefitters, and Steamfitters",47-2152,"Plumbers, Pipefitters, and Steamfitters"
250,0.35,0.0,53-2031,Flight attendants,53-2031,Flight Attendants,53-2031,Flight Attendants
251,0.35,,29-2032,Diagnostic medical sonographers,29-2032,Diagnostic Medical Sonographers,29-2032,Diagnostic Medical Sonographers
252,0.36,,33-3011,Bailiffs,33-3011,Bailiffs,33-3011,Bailiffs
253,0.36,,51-4012,"Computer numerically controlled machine tool programmers, metal and plastic",51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",51-9162,Computer Numerically Controlled Tool Programmers (##)
254,0.36,,49-2022,"Telecommunications equipment installers and repairers, except line installers",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
255,0.37,,51-9051,"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
256,0.37,,53-7061,Cleaners of vehicles and equipment,53-7061,Cleaners of Vehicles and Equipment,53-7061,Cleaners of Vehicles and Equipment
257,0.37,,39-4021,Funeral attendants,39-4021,Funeral Attendants,39-4021,Funeral Attendants
258,0.37,,47-5081,Helpers–extraction workers,47-5081,Helpers--Extraction Workers,47-5081,Helpers--Extraction Workers
259,0.37,,27-2011,Actors,27-2011,Actors,27-2011,Actors
260,0.37,,53-7111,Mine shuttle car operators,53-7111,Mine Shuttle Car Operators,47-5044,"Loading and Moving Machine Operators, Underground Mining (##)"
261,0.38,,49-2095,"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay",49-2095,"Electrical and Electronics Repairers, Powerhouse, Substation, and Relay"
262,0.38,1.0,17-1022,Surveyors,17-1022,Surveyors,17-1022,Surveyors
263,0.38,,17-3027,Mechanical engineering technicians,17-3027,Mechanical Engineering Technicians,17-3027,Mechanical Engineering Technologists and Technicians
264,0.38,,53-7064,"Packers and packagers, hand",53-7064,"Packers and Packagers, Hand",53-7064,"Packers and Packagers, Hand"
265,0.38,,27-3091,Interpreters and translators,27-3091,Interpreters and Translators,27-3091,Interpreters and Translators
266,0.39,,31-1011,Home health aides,31-1011,Home Health Aides,31-1121,Home Health Aides
267,0.39,,51-6093,Upholsterers,51-6093,Upholsterers,51-6093,Upholsterers
268,0.39,,47-4021,Elevator installers and repairers,47-4021,Elevator Installers and Repairers,47-4021,Elevator and Escalator Installers and Repairers
269,0.39,,43-3041,Gaming cage workers,43-3041,Gaming Cage Workers,43-3041,Gambling Cage Workers
270,0.39,,25-9011,Audio-visual and multimedia collections specialists,25-9011,Audio-Visual and Multimedia Collections Specialists,25-4022,Librarians and Media Collections Specialists (##)
271,0.4,0.0,23-1023,"Judges, magistrate judges, and magistrates",23-1023,"Judges, Magistrate Judges, and Magistrates",23-1023,"Judges, Magistrate Judges, and Magistrates"
272,0.4,,49-3042,"Mobile heavy equipment mechanics, except engines",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",49-3042,"Mobile Heavy Equipment Mechanics, Except Engines"
273,0.4,,29-2799,"Health technologists and technicians, all other",,,,
274,0.41,,45-2041,"Graders and sorters, agricultural products",45-2041,"Graders and Sorters, Agricultural Products",45-2041,"Graders and Sorters, Agricultural Products"
275,0.41,,51-2041,Structural metal fabricators and fitters,51-2041,Structural Metal Fabricators and Fitters,51-2041,Structural Metal Fabricators and Fitters
276,0.41,1.0,23-1012,Judicial law clerks,23-1012,Judicial Law Clerks,23-1012,Judicial Law Clerks
277,0.41,,49-2094,"Electrical and electronics repairers, commercial and industrial equipment",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment",49-2094,"Electrical and Electronics Repairers, Commercial and Industrial Equipment"
278,0.42,,19-4093,Forest and conservation technicians,19-4093,Forest and Conservation Technicians,19-4071,Forest and Conservation Technicians
279,0.42,,53-1021,"First-line supervisors of helpers, labourers, and material movers, hand",53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
280,0.43,,39-3093,"Locker room, coatroom, and dressing room attendants",39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",39-3093,"Locker Room, Coatroom, and Dressing Room Attendants"
281,0.43,,19-2099,"Physical scientists, all other",19-2099,"Physical Scientists, All Other",19-2099,"Physical Scientists, All Other"
282,0.43,0.0,19-3011,Economists,19-3011,Economists,19-3011,Economists
283,0.44,,19-3093,Historians,19-3093,Historians,19-3093,Historians
284,0.45,,51-9082,Medical appliance technicians,51-9082,Medical Appliance Technicians,51-9082,Medical Appliance Technicians
285,0.46,,43-4031,"Court, municipal, and license clerks",43-4031,"Court, Municipal, and License Clerks",43-4031,"Court, Municipal, and License Clerks"
286,0.47,,13-1141,"Compensation, benefits, and job analysis specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists",13-1141,"Compensation, Benefits, and Job Analysis Specialists"
287,0.47,,31-1013,Psychiatric aides,31-1013,Psychiatric Aides,31-1133,Psychiatric Aides
288,0.47,,29-2012,Medical and clinical laboratory technicians,29-2012,Medical and Clinical Laboratory Technicians,29-2012,Medical and Clinical Laboratory Technicians
289,0.48,,33-2021,Fire inspectors and investigators,33-2021,Fire Inspectors and Investigators,33-2021,Fire Inspectors and Investigators
290,0.48,,17-3021,Aerospace engineering and operations technicians,17-3021,Aerospace Engineering and Operations Technicians,17-3021,Aerospace Engineering and Operations Technologists and Technicians
291,0.48,,27-1026,Merchandise displayers and window trimmers,27-1026,Merchandise Displayers and Window Trimmers,27-1026,Merchandise Displayers and Window Trimmers
292,0.48,,47-5031,"Explosives workers, ordnance handling experts, and blasters",47-5031,"Explosives Workers, Ordnance Handling Experts, and Blasters",47-5032,"Explosives Workers, Ordnance Handling Experts, and Blasters (##)"
293,0.48,,15-1131,Computer programmers,15-1131,Computer Programmers,15-1251,Computer Programmers
294,0.49,,33-9091,Crossing guards,33-9091,Crossing Guards,33-9091,Crossing Guards and Flaggers
295,0.49,,17-2021,Agricultural engineers,17-2021,Agricultural Engineers,17-2021,Agricultural Engineers
296,0.49,,47-5061,"Roof bolters, mining",47-5061,"Roof Bolters, Mining",47-5043,"Roof Bolters, Mining"
297,0.49,,49-9052,Telecommunications line installers and repairers,49-9052,Telecommunications Line Installers and Repairers,49-9052,Telecommunications Line Installers and Repairers
298,0.49,,43-5031,"Police, fire, and ambulance dispatchers",43-5031,"Police, Fire, and Ambulance Dispatchers",43-5031,Public Safety Telecommunicators
299,0.5,,53-7033,"Loading machine operators, underground mining",53-7033,"Loading Machine Operators, Underground Mining",47-5044,"Loading and Moving Machine Operators, Underground Mining (##)"
300,0.5,,49-9799,"Installation, maintenance, and repair workers, all other",,,,
301,0.5,,23-2091,Court reporters,23-2091,Court Reporters,27-3092,Court Reporters and Simultaneous Captioners
302,0.51,,41-9011,Demonstrators and product promoters,41-9011,Demonstrators and Product Promoters,41-9011,Demonstrators and Product Promoters
303,0.51,,31-9091,Dental assistants,31-9091,Dental Assistants,31-9091,Dental Assistants
304,0.52,,51-6041,Shoe and leather workers and repairers,51-6041,Shoe and Leather Workers and Repairers,51-6041,Shoe and Leather Workers and Repairers
305,0.52,,17-3011,Architectural and civil drafters,17-3011,Architectural and Civil Drafters,17-3011,Architectural and Civil Drafters
306,0.53,,47-5012,"Rotary drill operators, oil and gas",47-5012,"Rotary Drill Operators, Oil and Gas",47-5012,"Rotary Drill Operators, Oil and Gas"
307,0.53,,47-4041,Hazardous materials removal workers,47-4041,Hazardous Materials Removal Workers,47-4041,Hazardous Materials Removal Workers
308,0.54,,39-4011,Embalmers,39-4011,Embalmers,39-4011,Embalmers
309,0.54,,47-5041,Continuous mining machine operators,47-5041,Continuous Mining Machine Operators,47-5041,Continuous Mining Machine Operators
310,0.54,,39-1012,Slot supervisors,39-1012,Slot Supervisors,39-1013,First-line Supervisors of Gambling Services Workers (##)
311,0.54,,31-9011,Massage therapists,31-9011,Massage Therapists,31-9011,Massage Therapists
312,0.54,,41-3011,Advertising sales agents,41-3011,Advertising Sales Agents,41-3011,Advertising Sales Agents
313,0.55,,49-3022,Automotive glass installers and repairers,49-3022,Automotive Glass Installers and Repairers,49-3022,Automotive Glass Installers and Repairers
314,0.55,,53-2012,Commercial pilots,53-2012,Commercial Pilots,53-2012,Commercial Pilots
315,0.55,,43-4051,Customer service representatives,43-4051,Customer Service Representatives,43-4051,Customer Service Representatives
316,0.55,,27-4011,Audio and video equipment technicians,27-4011,Audio and Video Equipment Technicians,27-4011,Audio and Video Technicians
317,0.56,,25-9041,Teacher assistants,25-9041,Teacher Assistants (#),25-9042,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education"
317,0.56,,25-9041,Teacher assistants,25-9041,Teacher Assistants (#),25-9043,"Teaching Assistants, Special Education"
317,0.56,,25-9041,Teacher assistants,25-9041,Teacher Assistants (#),25-9049,"Teaching Assistants, All Other"
318,0.57,,45-1011,"First-line supervisors of farming, fishing, and forestry workers",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers"
319,0.57,,19-4031,Chemical technicians,19-4031,Chemical Technicians,19-4031,Chemical Technicians
320,0.57,,47-3015,"Helpers–pipelayers, plumbers, pipefitters, and steamfitters",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters",47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters"
321,0.57,1.0,13-1051,Cost estimators,13-1051,Cost Estimators,13-1051,Cost Estimators
322,0.57,,33-3052,Transit and railroad police,33-3052,Transit and Railroad Police,33-3052,Transit and Railroad Police
323,0.57,,37-1012,"First-line supervisors of landscaping, lawn service, and groundskeeping workers",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
324,0.58,,13-2052,Personal financial advisors,13-2052,Personal Financial Advisors,13-2052,Personal Financial Advisors
325,0.59,,49-9044,Millwrights,49-9044,Millwrights,49-9044,Millwrights
326,0.59,,25-4013,Museum technicians and conservators,25-4013,Museum Technicians and Conservators,25-4013,Museum Technicians and Conservators
327,0.59,,47-5042,Mine cutting and channeling machine operators,47-5042,Mine Cutting and Channeling Machine Operators,47-5049,"Underground Mining Machine Operators, All Other (##)"
328,0.59,0.0,11-3071,"Transportation, storage, and distribution managers",11-3071,"Transportation, Storage, and Distribution Managers",11-3071,"Transportation, Storage, and Distribution Managers"
329,0.59,,49-3092,Recreational vehicle service technicians,49-3092,Recreational Vehicle Service Technicians,49-3092,Recreational Vehicle Service Technicians
330,0.59,,49-3023,Automotive service technicians and mechanics,49-3023,Automotive Service Technicians and Mechanics,49-3023,Automotive Service Technicians and Mechanics
331,0.6,,33-3012,Correctional officers and jailers,33-3012,Correctional Officers and Jailers,33-3012,Correctional Officers and Jailers
332,0.6,,27-4031,"Camera operators, television, video, and motion picture",27-4031,"Camera Operators, Television, Video, and Motion Picture",27-4031,"Camera Operators, Television, Video, and Film"
333,0.6,,51-3023,Slaughterers and meat packers,51-3023,Slaughterers and Meat Packers,51-3023,Slaughterers and Meat Packers
334,0.61,,49-2096,"Electronic equipment installers and repairers, motor vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles",49-2096,"Electronic Equipment Installers and Repairers, Motor Vehicles"
335,0.61,,31-2022,Physical therapist aides,31-2022,Physical Therapist Aides,31-2022,Physical Therapist Aides
336,0.61,,39-3092,Costume attendants,39-3092,Costume Attendants,39-3092,Costume Attendants
337,0.61,1.0,13-1161,Market research analysts and marketing specialists,13-1161,Market Research Analysts and Marketing Specialists,13-1161,Market Research Analysts and Marketing Specialists
338,0.61,,43-4181,Reservation and transportation ticket agents and travel clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks
339,0.61,,51-8031,Water and wastewater treatment plant and system operators,51-8031,Water and Wastewater Treatment Plant and System Operators,51-8031,Water and Wastewater Treatment Plant and System Operators
340,0.61,,19-4099,"Life, physical, and social science technicians, all other",19-4099,"Life, Physical, and Social Science Technicians, All Other (#)",19-4044,Hydrologic Technicians (##)
340,0.61,,19-4099,"Life, physical, and social science technicians, all other",19-4099,"Life, Physical, and Social Science Technicians, All Other (#)",19-4099,"Life, Physical, and Social Science Technicians, All Other"
341,0.61,,51-3093,Food cooking machine operators and tenders,51-3093,Food Cooking Machine Operators and Tenders,51-3093,Food Cooking Machine Operators and Tenders
342,0.61,,51-4122,"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders"
343,0.62,1.0,53-5022,Motorboat operators,53-5022,Motorboat Operators,53-5022,Motorboat Operators
344,0.62,,47-2082,Tapers,47-2082,Tapers,47-2082,Tapers
345,0.62,,47-2151,Pipelayers,47-2151,Pipelayers,47-2151,Pipelayers
346,0.63,,19-2042,"Geoscientists, except hydrologists and geographers",19-2042,"Geoscientists, Except Hydrologists and Geographers",19-2042,"Geoscientists, Except Hydrologists and Geographers"
347,0.63,,49-9012,"Control and valve installers and repairers, except mechanical door",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door"
348,0.63,,31-9799,"Healthcare support workers, all other",,,,
349,0.63,,35-1012,First-line supervisors of food preparation and serving workers,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,35-1012,First-Line Supervisors of Food Preparation and Serving Workers
350,0.63,,47-4011,Construction and building inspectors,47-4011,Construction and Building Inspectors,47-4011,Construction and Building Inspectors
351,0.64,,51-9031,"Cutters and trimmers, hand",51-9031,"Cutters and Trimmers, Hand",51-9031,"Cutters and Trimmers, Hand"
352,0.64,,49-9071,"Maintenance and repair workers, general",49-9071,"Maintenance and Repair Workers, General",49-9071,"Maintenance and Repair Workers, General"
353,0.64,,23-1021,"Administrative law judges, adjudicators, and hearing officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
354,0.64,,43-5081,Stock clerks and order fillers,43-5081,Stock Clerks and Order Fillers,53-7065,Stockers and Order Fillers
355,0.64,,51-8012,Power distributors and dispatchers,51-8012,Power Distributors and Dispatchers,51-8012,Power Distributors and Dispatchers
356,0.64,,47-2132,"Insulation workers, mechanical",47-2132,"Insulation Workers, Mechanical",47-2132,"Insulation Workers, Mechanical"
357,0.65,,19-4061,Social science research assistants,19-4061,Social Science Research Assistants,19-4061,Social Science Research Assistants
358,0.65,,51-4041,Machinists,51-4041,Machinists,51-4041,Machinists
359,0.65,,15-1150,Computer support specialists,,,,
360,0.65,,25-4021,Librarians,25-4021,Librarians,25-4022,Librarians and Media Collections Specialists (##)
361,0.65,,49-2097,Electronic home entertainment equipment installers and repairers,49-2097,Electronic Home Entertainment Equipment Installers and Repairers,49-2097,Audiovisual Equipment Installers and Repairers
362,0.65,,49-9021,"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers"
363,0.65,,53-7041,Hoist and winch operators,53-7041,Hoist and Winch Operators,53-7041,Hoist and Winch Operators
364,0.66,,37-2021,Pest control workers,37-2021,Pest Control Workers,37-2021,Pest Control Workers
365,0.66,,51-9198,Helpers–production workers,51-9198,Helpers--Production Workers,51-9198,Helpers--Production Workers
366,0.66,,43-9111,Statistical assistants,43-9111,Statistical Assistants,43-9111,Statistical Assistants
367,0.66,,37-2011,"Janitors and cleaners, except maids and housekeeping cleaners",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
368,0.66,,49-3051,Motorboat mechanics and service technicians,49-3051,Motorboat Mechanics and Service Technicians,49-3051,Motorboat Mechanics and Service Technicians
369,0.67,,51-9196,"Paper goods machine setters, operators, and tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders",51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
370,0.67,,51-4071,Foundry mold and coremakers,51-4071,Foundry Mold and Coremakers,51-4071,Foundry Mold and Coremakers
371,0.67,,19-2021,Atmospheric and space scientists,19-2021,Atmospheric and Space Scientists,19-2021,Atmospheric and Space Scientists
372,0.67,1.0,53-3021,"Bus drivers, transit and intercity",53-3021,"Bus Drivers, Transit and Intercity",53-3052,"Bus Drivers, Transit and Intercity"
373,0.67,,33-9092,"Lifeguards, ski patrol, and other recreational protective service workers",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers"
374,0.67,,49-9041,Industrial machinery mechanics,49-9041,Industrial Machinery Mechanics,49-9041,Industrial Machinery Mechanics
375,0.68,,43-5052,Postal service mail carriers,43-5052,Postal Service Mail Carriers,43-5052,Postal Service Mail Carriers
376,0.68,,47-5071,"Roustabouts, oil and gas",47-5071,"Roustabouts, Oil and Gas",47-5071,"Roustabouts, Oil and Gas"
377,0.68,,47-2011,Boilermakers,47-2011,Boilermakers,47-2011,Boilermakers
378,0.68,,17-3013,Mechanical drafters,17-3013,Mechanical Drafters,17-3013,Mechanical Drafters
379,0.68,,29-2021,Dental hygienists,29-2021,Dental Hygienists,29-1292,Dental Hygienists
380,0.69,1.0,53-3033,Light truck or delivery services drivers,53-3033,Light Truck or Delivery Services Drivers,53-3033,Light Truck Drivers
381,0.69,0.0,37-2012,Maids and housekeeping cleaners,37-2012,Maids and Housekeeping Cleaners,37-2012,Maids and Housekeeping Cleaners
382,0.69,,51-9122,"Painters, transportation equipment",51-9122,"Painters, Transportation Equipment",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (##)"
383,0.7,,43-4061,"Eligibility interviewers, government programs",43-4061,"Eligibility Interviewers, Government Programs",43-4061,"Eligibility Interviewers, Government Programs"
384,0.7,,49-3093,Tire repairers and changers,49-3093,Tire Repairers and Changers,49-3093,Tire Repairers and Changers
385,0.7,,51-3092,Food batchmakers,51-3092,Food Batchmakers,51-3092,Food Batchmakers
386,0.7,,49-2091,Avionics technicians,49-2091,Avionics Technicians,49-2091,Avionics Technicians
387,0.71,,49-3011,Aircraft mechanics and service technicians,49-3011,Aircraft Mechanics and Service Technicians,49-3011,Aircraft Mechanics and Service Technicians
388,0.71,,53-2022,Airfield operations specialists,53-2022,Airfield Operations Specialists,53-2022,Airfield Operations Specialists
389,0.71,,51-8093,"Petroleum pump system operators, refinery operators, and gaugers",51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
390,0.71,,47-4799,"Construction and related workers, all other",,,,
391,0.71,,29-2081,"Opticians, dispensing",29-2081,"Opticians, Dispensing",29-2081,"Opticians, Dispensing"
392,0.71,,51-6011,Laundry and dry-cleaning workers,51-6011,Laundry and Dry-Cleaning Workers,51-6011,Laundry and Dry-Cleaning Workers
393,0.72,,39-3091,Amusement and recreation attendants,39-3091,Amusement and Recreation Attendants,39-3091,Amusement and Recreation Attendants
394,0.72,,31-9095,Pharmacy aides,31-9095,Pharmacy Aides,31-9095,Pharmacy Aides
395,0.72,,47-3016,Helpers–roofers,47-3016,Helpers--Roofers,47-3016,Helpers--Roofers
396,0.72,,53-7121,"Tank car, truck, and ship loaders",53-7121,"Tank Car, Truck, and Ship Loaders",53-7121,"Tank Car, Truck, and Ship Loaders"
397,0.72,,49-9031,Home appliance repairers,49-9031,Home Appliance Repairers,49-9031,Home Appliance Repairers
398,0.72,,47-2031,Carpenters,47-2031,Carpenters,47-2031,Carpenters
399,0.72,,27-3012,Public address system and other announcers,27-3012,Public Address System and Other Announcers,27-3099,"Media and Communication Workers, All Other (##)"
400,0.73,,51-6063,"Textile knitting and weaving machine setters, operators, and tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders"
401,0.73,,11-3011,Administrative services managers,11-3011,Administrative Services Managers (#),11-3012,Administrative Services Managers
401,0.73,,11-3011,Administrative services managers,11-3011,Administrative Services Managers (#),11-3013,Facilities Managers
402,0.73,,47-2121,Glaziers,47-2121,Glaziers,47-2121,Glaziers
403,0.73,,51-2021,"Coil winders, tapers, and finishers",51-2021,"Coil Winders, Tapers, and Finishers",51-2021,"Coil Winders, Tapers, and Finishers"
404,0.73,,49-3031,Bus and truck mechanics and diesel engine specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists,49-3031,Bus and Truck Mechanics and Diesel Engine Specialists
405,0.74,,49-2011,"Computer, automated teller, and office machine repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers",49-2011,"Computer, Automated Teller, and Office Machine Repairers"
406,0.74,,39-9021,Personal care aides,39-9021,Personal Care Aides,31-1122,Personal Care Aides
407,0.74,,27-4012,Broadcast technicians,27-4012,Broadcast Technicians,27-4012,Broadcast Technicians
408,0.74,,47-3013,Helpers–electricians,47-3013,Helpers--Electricians,47-3013,Helpers--Electricians
409,0.75,,11-9131,Postmasters and mail superintendents,11-9131,Postmasters and Mail Superintendents,11-9131,Postmasters and Mail Superintendents
410,0.75,,47-2044,Tile and marble setters,47-2044,Tile and Marble Setters,47-2044,Tile and Stone Setters
411,0.75,,47-2141,"Painters, construction and maintenance",47-2141,"Painters, Construction and Maintenance",47-2141,"Painters, Construction and Maintenance"
412,0.75,,53-6061,"Transportation attendants, except flight attendants",53-6061,"Transportation Attendants, Except Flight Attendants",53-6061,Passenger Attendants
413,0.75,1.0,17-3022,Civil engineering technicians,17-3022,Civil Engineering Technicians,17-3022,Civil Engineering Technologists and Technicians
414,0.75,,49-3041,Farm equipment mechanics and service technicians,49-3041,Farm Equipment Mechanics and Service Technicians,49-3041,Farm Equipment Mechanics and Service Technicians
415,0.76,,25-4011,Archivists,25-4011,Archivists,25-4011,Archivists
416,0.76,,51-9011,Chemical equipment operators and tenders,51-9011,Chemical Equipment Operators and Tenders,51-9011,Chemical Equipment Operators and Tenders
417,0.76,,49-2092,"Electric motor, power tool, and related repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers",49-2092,"Electric Motor, Power Tool, and Related Repairers"
418,0.76,,45-4021,Fallers,45-4021,Fallers,45-4021,Fallers
419,0.77,,19-4091,"Environmental science and protection technicians, including health",19-4091,"Environmental Science and Protection Technicians, Including Health",19-4042,"Environmental Science and Protection Technicians, Including Health"
420,0.77,,49-9094,Locksmiths and safe repairers,49-9094,Locksmiths and Safe Repairers,49-9094,Locksmiths and Safe Repairers
421,0.77,,37-3013,Tree trimmers and pruners,37-3013,Tree Trimmers and Pruners,37-3013,Tree Trimmers and Pruners
422,0.77,,35-3011,Bartenders,35-3011,Bartenders,35-3011,Bartenders
423,0.77,,13-1023,"Purchasing agents, except wholesale, retail, and farm products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
424,0.77,1.0,35-9021,Dishwashers,35-9021,Dishwashers,35-9021,Dishwashers
425,0.77,0.0,45-3021,Hunters and trappers,45-3021,Hunters and Trappers,45-3031,Fishing and Hunting Workers (##)
426,0.78,,31-9093,Medical equipment preparers,31-9093,Medical Equipment Preparers,31-9093,Medical Equipment Preparers
427,0.78,,51-4031,"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
428,0.78,,43-9011,Computer operators,43-9011,Computer Operators,15-1299,"Computer Occupations, All Other (##)"
429,0.78,,51-8092,Gas plant operators,51-8092,Gas Plant Operators,51-8092,Gas Plant Operators
