2018 SOC Code,2018 SOC Title,2018 Census Code,2018 Census Title ,occ2018,total_lf,native,foreign
51-7011,Cabinetmakers and Bench Carpenters,8500,Cabinetmakers and bench carpenters,8500,42180.0892,23839.126200000002,18340.963
51-7021,Furniture Finishers,8510,Furniture finishers,8510,21723.008800000003,11353.4295,10369.579300000001
51-7031,"Model Makers, Wood",8555,Other woodworkers,8555,35235.7775,28504.7938,6730.9837
51-7032,"Patternmakers, Wood",8555,Other woodworkers,8555,35235.7775,28504.7938,6730.9837
51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",8530,"Sawing machine setters, operators, and tenders, wood",8530,25162.584,22148.7843,3013.7997
51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",8540,"Woodworking machine setters, operators, and tenders, except sawing",,,,
51-7099,"Woodworkers, All Other",8555,Other woodworkers,8555,35235.7775,28504.7938,6730.9837
51-8011,Nuclear Power Reactor Operators,8600,"Power plant operators, distributors, and dispatchers",8600,39265.7065,34033.683899999996,5232.0226
51-8012,Power Distributors and Dispatchers,8600,"Power plant operators, distributors, and dispatchers",8600,39265.7065,34033.683899999996,5232.0226
51-8013,Power Plant Operators,8600,"Power plant operators, distributors, and dispatchers",8600,39265.7065,34033.683899999996,5232.0226
51-8021,Stationary Engineers and Boiler Operators,8610,Stationary engineers and boiler operators,8610,123283.2937,108325.1452,14958.1485
51-8031,Water and Wastewater Treatment Plant and System Operators,8620,Water and wastewater treatment plant and system operators,8620,150990.1286,144854.0722,6136.0564
51-8091,Chemical Plant and System Operators,8630,Miscellaneous plant and system operators,8630,37359.0221,31338.4266,6020.5955
51-8092,Gas Plant Operators,8630,Miscellaneous plant and system operators,8630,37359.0221,31338.4266,6020.5955
51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",8630,Miscellaneous plant and system operators,8630,37359.0221,31338.4266,6020.5955
51-8099,"Plant and System Operators, All Other",8630,Miscellaneous plant and system operators,8630,37359.0221,31338.4266,6020.5955
51-9011,Chemical Equipment Operators and Tenders,8640,"Chemical processing machine setters, operators, and tenders",8640,62121.3392,54440.309,7681.0302
51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",8640,"Chemical processing machine setters, operators, and tenders",8640,62121.3392,54440.309,7681.0302
51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",8650,"Crushing, grinding, polishing, mixing, and blending workers",8650,77632.3963,47857.856799999994,29774.5395
51-9022,"Grinding and Polishing Workers, Hand",8650,"Crushing, grinding, polishing, mixing, and blending workers",8650,77632.3963,47857.856799999994,29774.5395
51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",8650,"Crushing, grinding, polishing, mixing, and blending workers",8650,77632.3963,47857.856799999994,29774.5395
51-9031,"Cutters and Trimmers, Hand",8710,Cutting workers,8710,46842.184,43487.2336,3354.9504
51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",8710,Cutting workers,8710,46842.184,43487.2336,3354.9504
51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",8720,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,18555.1655,18555.1655,0.0
51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",8730,"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,23504.2454,22573.3875,930.8579
51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",8740,"Inspectors, testers, sorters, samplers, and weighers",8740,812641.4675,650207.909,162433.55849999998
51-9071,Jewelers and Precious Stone and Metal Workers,8750,Jewelers and precious stone and metal workers,8750,50915.6057,44724.4782,6191.1275
51-9081,Dental Laboratory Technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,85381.0426,71944.2424,13436.800200000001
51-9082,Medical Appliance Technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,85381.0426,71944.2424,13436.800200000001
51-9083,Ophthalmic Laboratory Technicians,8760,Dental and ophthalmic laboratory technicians and medical appliance technicians,8760,85381.0426,71944.2424,13436.800200000001
51-9111,Packaging and Filling Machine Operators and Tenders,8800,Packaging and filling machine operators and tenders,8800,287068.1588,130658.492,156409.6668
51-9123,"Painting, Coating, and Decorating Workers",8990,Other production workers,8990,1254470.7532,921234.3803,333236.3729
51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",8990,Other production workers,8990,1254470.7532,921234.3803,333236.3729
51-9141,Semiconductor Processing Technicians,8990,Other production workers,8990,1254470.7532,921234.3803,333236.3729
51-9151,Photographic Process Workers and Processing Machine Operators,8830,Photographic process workers and processing machine operators,8830,39792.8111,35858.6924,3934.1187
51-9161,Computer Numerically Controlled Tool Operators,8990,Other production workers,8990,1254470.7532,921234.3803,333236.3729
51-9162,Computer Numerically Controlled Tool Programmers,8990,Other production workers,8990,1254470.7532,921234.3803,333236.3729
51-9191,Adhesive Bonding Machine Operators and Tenders,8850,Adhesive bonding machine operators and tenders,,,,
51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",8865,Other production equipment operators and tenders,,,,
51-9193,Cooling and Freezing Equipment Operators and Tenders,8865,Other production equipment operators and tenders,,,,
51-9194,Etchers and Engravers,8910,Etchers and engravers,8910,658.0215,658.0215,0.0
51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",8920,"Molders, shapers, and casters, except metal and plastic",8920,50047.5929,46949.9106,3097.6823
51-9196,"Paper Goods Machine Setters, Operators, and Tenders",8930,"Paper goods machine setters, operators, and tenders",8930,10684.6397,10684.6397,0.0
51-9197,Tire Builders,8940,Tire builders,,,,
51-9198,Helpers--Production Workers,8950,Helpers--production workers,8950,84858.96429999999,47294.034,37564.9303
51-9199,"Production Workers, All Other",8865,Other production equipment operators and tenders,,,,
53-1041,Aircraft Cargo Handling Supervisors,9005,Supervisors of transportation and material moving workers,9005,310908.1006,274390.6893,36517.4113
53-1042,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",9005,Supervisors of transportation and material moving workers,9005,310908.1006,274390.6893,36517.4113
53-1043,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,9005,Supervisors of transportation and material moving workers,9005,310908.1006,274390.6893,36517.4113
53-1044,First-Line Supervisors of Passenger Attendants,9005,Supervisors of transportation and material moving workers,9005,310908.1006,274390.6893,36517.4113
53-1049,"First-Line Supervisors of Transportation Workers, All Other",9005,Supervisors of transportation and material moving workers,9005,310908.1006,274390.6893,36517.4113
53-2011,"Airline Pilots, Copilots, and Flight Engineers",9030,Aircraft pilots and flight engineers,9030,180764.78369999997,161530.73619999998,19234.0475
53-2012,Commercial Pilots,9030,Aircraft pilots and flight engineers,9030,180764.78369999997,161530.73619999998,19234.0475
53-2021,Air Traffic Controllers,9040,Air traffic controllers and airfield operations specialists,9040,38103.9392,31959.3534,6144.5858
53-2022,Airfield Operations Specialists,9040,Air traffic controllers and airfield operations specialists,9040,38103.9392,31959.3534,6144.5858
53-2031,Flight Attendants,9050,Flight attendants,9050,160768.4202,148658.95309999998,12109.4671
53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",9110,"Ambulance drivers and attendants, except emergency medical technicians",9110,18301.7679,14052.5576,4249.2103
53-3031,Driver/Sales Workers,9130,Driver/sales workers and truck drivers,9130,3595899.7557,2782861.2118,813038.5438999999
53-3032,Heavy and Tractor-Trailer Truck Drivers,9130,Driver/sales workers and truck drivers,9130,3595899.7557,2782861.2118,813038.5438999999
53-3033,Light Truck Drivers,9130,Driver/sales workers and truck drivers,9130,3595899.7557,2782861.2118,813038.5438999999
53-3051,"Bus Drivers, School",9121,"Bus drivers, school",9121,259903.8473,192240.5059,67663.3414
53-3052,"Bus Drivers, Transit and Intercity",9122,"Bus drivers, transit and intercity",9122,303666.3506,206609.52169999998,97056.82890000001
53-3053,Shuttle Drivers and Chauffeurs,9141,Shuttle drivers and chauffeurs,9141,105456.89289999999,72835.0232,32621.8697
53-3054,Taxi Drivers,9142,Taxi drivers,9142,621983.0699,234653.7047,387329.3652
53-3099,"Motor Vehicle Operators, All Other",9150,"Motor vehicle operators, all other",9150,156008.5796,134112.6125,21895.9671
53-4011,Locomotive Engineers,9265,Other rail transportation workers,9265,37060.6028,30921.9504,6138.6524
53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",9265,Other rail transportation workers,9265,37060.6028,30921.9504,6138.6524
53-4022,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",9265,Other rail transportation workers,9265,37060.6028,30921.9504,6138.6524
53-4031,Railroad Conductors and Yardmasters,9240,Railroad conductors and yardmasters,9240,58010.4313,58010.4313,0.0
53-4041,Subway and Streetcar Operators,9265,Other rail transportation workers,9265,37060.6028,30921.9504,6138.6524
53-4099,"Rail Transportation Workers, All Other",9265,Other rail transportation workers,9265,37060.6028,30921.9504,6138.6524
53-5011,Sailors and Marine Oilers,9300,Sailors and marine oilers,9300,13047.4309,13047.4309,0.0
53-5021,"Captains, Mates, and Pilots of Water Vessels",9310,Ship and boat captains and operators,9310,35814.7264,35814.7264,0.0
53-5022,Motorboat Operators,9310,Ship and boat captains and operators,9310,35814.7264,35814.7264,0.0
53-5031,Ship Engineers,9330,Ship engineers ,,,,
53-6011,Bridge and Lock Tenders,9430,Other transportation workers,9430,24251.5246,24251.5246,0.0
53-6021,Parking Attendants,9350,Parking attendants,9350,56993.985400000005,36583.8657,20410.1197
53-6031,Automotive and Watercraft Service Attendants,9430,Other transportation workers,9430,24251.5246,24251.5246,0.0
53-6032,Aircraft Service Attendants,9430,Other transportation workers,9430,24251.5246,24251.5246,0.0
53-6041,Traffic Technicians,9430,Other transportation workers,9430,24251.5246,24251.5246,0.0
53-6051,Transportation Inspectors,9410,Transportation inspectors,9410,63928.73959999999,57305.444599999995,6623.295
53-6061,Passenger Attendants,9415,Passenger attendants,9415,41586.6653,41586.6653,0.0
53-6099,"Transportation Workers, All Other",9430,Other transportation workers,9430,24251.5246,24251.5246,0.0
53-7011,Conveyor Operators and Tenders,9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7021,Crane and Tower Operators,9510,Crane and tower operators,9510,80549.9833,74468.425,6081.5583
53-7031,Dredge Operators,9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7041,Hoist and Winch Operators,9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7051,Industrial Truck and Tractor Operators,9600,Industrial truck and tractor operators,9600,680092.1545,493580.2131,186511.9414
53-7061,Cleaners of Vehicles and Equipment,9610,Cleaners of vehicles and equipment,9610,440188.6884,298639.5503,141549.1381
53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",9620,"Laborers and freight, stock, and material movers, hand",9620,2320535.0947000002,1867525.8192,453009.2755
53-7063,Machine Feeders and Offbearers,9630,Machine feeders and offbearers,9630,38758.2812,34348.71,4409.5712
53-7064,"Packers and Packagers, Hand",9640,"Packers and packagers, hand",9640,578525.9301,352835.0375,225690.8926
53-7065,Stockers and Order Fillers,9645,Stockers and order fillers,9645,1841544.7406,1500186.5872,341358.1534
53-7071,Gas Compressor and Gas Pumping Station Operators,9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7072,"Pump Operators, Except Wellhead Pumpers",9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7073,Wellhead Pumpers,9570,"Conveyor, dredge, and hoist and winch operators",9570,27776.8742,15861.7256,11915.1486
53-7081,Refuse and Recyclable Material Collectors,9720,Refuse and recyclable material collectors,9720,162671.7388,112963.5163,49708.2225
53-7121,"Tank Car, Truck, and Ship Loaders",9760,Other material moving workers,9760,71182.9417,60826.3931,10356.5486
53-7199,"Material Moving Workers, All Other",9760,Other material moving workers,9760,71182.9417,60826.3931,10356.5486
55-1011,Air Crew Officers,9800,Military officer special and tactical operations leaders,,,,
55-1012,Aircraft Launch and Recovery Officers,9800,Military officer special and tactical operations leaders,,,,
55-1013,Armored Assault Vehicle Officers,9800,Military officer special and tactical operations leaders,,,,
55-1014,Artillery and Missile Officers,9800,Military officer special and tactical operations leaders,,,,
55-1015,Command and Control Center Officers,9800,Military officer special and tactical operations leaders,,,,
55-1016,Infantry Officers,9800,Military officer special and tactical operations leaders,,,,
55-1017,Special Forces Officers,9800,Military officer special and tactical operations leaders,,,,
55-1019,"Military Officer Special and Tactical Operations Leaders, All Other",9800,Military officer special and tactical operations leaders,,,,
55-2011,First-Line Supervisors of Air Crew Members,9810,First-line enlisted military supervisors,,,,
55-2012,First-Line Supervisors of Weapons Specialists/Crew Members,9810,First-line enlisted military supervisors,,,,
55-2013,First-Line Supervisors of All Other Tactical Operations Specialists,9810,First-line enlisted military supervisors,,,,
55-3011,Air Crew Members,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3012,Aircraft Launch and Recovery Specialists,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3013,Armored Assault Vehicle Crew Members,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3014,Artillery and Missile Crew Members,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3015,Command and Control Center Specialists,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3016,Infantry,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3018,Special Forces,9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
55-3019,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",9825,Military enlisted tactical operations and air/weapons specialists and crew members,,,,
