occ2018,total_lf,native,foreign,2018 Census Title ,2018 Census Code,2018 SOC Code,2018 SOC Title,2018 Census Title
5320,70838.09580000001,49724.9198,21113.176,"Library assistants, clerical",5320,43-4121,,
1031,70032.8432,60157.7731,9875.0701,Web developers,1031,15-1254,,
0640,69616.43519999999,66323.9849,3292.4503,"Compensation, benefits, and job analysis specialists",0640,13-1141,,
2180,68529.8262,68529.8262,0.0,"Legal support workers, all other",2180,23-2099,,
3324,68434.811,59450.5791,8984.231899999999,Magnetic resonance imaging technologists,3324,29-2035,,
1545,67365.9132,57251.1688,10114.7444,Other drafters,1545,17-301X,,
8350,67274.8218,38572.8665,28701.9553,"Tailors, dressmakers, and sewers",8350,51-6050,,
3700,66317.1689,66317.1689,0.0,First-line supervisors of correctional officers,3700,33-1011,,
2751,65156.9359,49202.142100000005,15954.7938,Music directors and composers,2751,27-2041,,
1822,64801.11839999999,60814.4835,3986.6349,School psychologists,1822,19-3034,,
1745,64531.4097,64531.4097,0.0,"Environmental scientists and specialists, including health",1745,19-2041,,
0500,64327.3226,59609.7688,4717.5538,"Agents and business managers of artists, performers, and athletes",0500,13-1011,,
0137,64169.789,64169.789,0.0,Training and development managers,0137,11-3131,,
9410,63928.73959999999,57305.4446,6623.295,Transportation inspectors,9410,53-6051,,
3605,63761.3417,55441.9493,8319.3924,Orderlies and psychiatric aides,3605,31-113X,,
6250,63628.7819,32713.1576,30915.6243,"Cement masons, concrete finishers, and terrazzo workers",6250,47-2050,,
5220,63365.4821,58224.5423,5140.9398,"Court, municipal, and license clerks",5220,43-4031,,
8000,63041.7646,45893.1796,17148.585,"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",8000,51-4033,,
0360,63007.6264,57872.7558,5134.8706,Natural sciences managers,0360,11-9121,,
3321,62932.9568,48344.8512,14588.1056,Cardiovascular technologists and technicians,3321,29-2031,,
1900,62264.4561,34965.3286,27299.1275,Agricultural and food science technicians,1900,19-4010,,
8640,62121.3392,54440.309,7681.0302,"Chemical processing machine setters, operators, and tenders",8640,51-9010,,
2632,61734.9157,56659.4513,5075.4644,Fashion designers,2632,27-1022,,
3040,61537.4234,49284.9366,12252.4868,Optometrists,3040,29-1041,,
1005,60939.9993,34212.8063,26727.193,Computer and information research scientists,1005,15-1221,,
0930,60435.8675,46494.8148,13941.0527,"Tax examiners and collectors, and revenue agents",0930,13-2081,,
3610,60402.1538,60402.1538,0.0,Occupational therapy assistants and aides,3610,31-2010,,
1420,60235.6759,48017.9349,12217.741,Environmental engineers,1420,17-2081,,
2700,59055.6737,51022.1622,8033.5115,Actors,2700,27-2011,,
4465,58714.2395,58714.2395,0.0,"Morticians, undertakers, and funeral arrangers",4465,39-4031,,
1032,58706.8242,49468.1834,9238.6408,Web and digital interface designers,1032,15-1255,,
9240,58010.4313,58010.4313,0.0,Railroad conductors and yardmasters,9240,53-4031,,
7350,57643.2153,44814.8546,12828.3607,"Maintenance workers, machinery",7350,49-9043,,
6950,57488.5873,46877.4362,10611.1511,Other extraction workers,6950,47-50XX,,
9350,56993.985400000005,36583.8657,20410.1197,Parking attendants,9350,53-6021,,
7360,56558.4821,56558.4821,0.0,Millwrights,7360,49-9044,,
7320,56387.3213,27179.3577,29207.963600000003,Home appliance repairers,7320,49-9031,,
3646,55823.9022,55823.9022,0.0,Medical transcriptionists,3646,31-9094,,
0040,54634.7824,43641.2626,10993.5198,Advertising and promotions managers,0040,11-2011,,
5720,53431.5702,38789.0183,14642.5519,Legal secretaries and administrative assistants,5720,43-6012,,
6700,52529.4229,47658.0634,4871.3595,Elevator and escalator installers and repairers,6700,47-4021,,
3940,51937.2303,43149.4381,8787.7922,Crossing guards and flaggers,3940,33-9091,,
0810,51804.5043,50922.471,882.0333,Property appraisers and assessors,0810,13-2020,,
7430,51604.7255,42964.15,8640.5755,Precision instrument and equipment repairers,7430,49-9060,,
4420,51399.7887,37363.5517,14036.237,"Ushers, lobby attendants, and ticket takers",4420,39-3031,,
8750,50915.6057,44724.4782,6191.1275,Jewelers and precious stone and metal workers,8750,51-9071,,
7130,50840.5883,50169.203,671.3853,Security and fire alarm systems installers,7130,49-2098,,
1310,50641.0808,45458.2037,5182.8771,"Surveyors, cartographers, and photogrammetrists",1310,17-1020,,
3430,50158.3217,49548.1753,610.1464,Dietetic technicians and ophthalmic medical technicians,3430,29-205X,,
7540,50116.6283,33353.7298,16762.8985,Locksmiths and safe repairers,7540,49-9094,,
8920,50047.5929,46949.9106,3097.6823,"Molders, shapers, and casters, except metal and plastic",8920,51-9195,,
4930,49375.7061,49375.7061,0.0,Sales engineers,4930,41-9031,,
5560,48252.5472,42275.6579,5976.8893,"Postal service mail sorters, processors, and processing machine operators",5560,43-5053,,
2003,47146.7399,44006.0173,3140.7226,Marriage and family therapists,2003,21-1013,,
8710,46842.184,43487.2336,3354.9504,Cutting workers,8710,51-9030,,
2721,46581.5342,37772.3981,8809.1361,Athletes and sports competitors,2721,27-2021,,
1750,46560.9325,45847.407,713.5255,"Geoscientists and hydrologists, except geographers",1750,19-204X,,
3330,44894.5004,41008.2991,3886.2013,Nuclear medicine technologists and medical dosimetrists,3330,29-203X,,
5850,44830.8227,33854.2689,10976.5538,"Mail clerks and mail machine operators, except postal service",5850,43-9051,,
6005,44453.7221,28323.2243,16130.4978,"First-line supervisors of farming, fishing, and forestry workers",6005,45-1011,,
3648,44411.3305,37233.4729,7177.8576,Veterinary assistants and laboratory animal caretakers,3648,31-9096,,
8100,44112.9379,33952.260200000004,10160.6777,"Molders and molding machine setters, operators, and tenders, metal and plastic",8100,51-4070,,
2636,43350.0821,38021.7058,5328.3763,Merchandise displayers and window trimmers,2636,27-1026,,
3520,43340.499200000006,36886.231100000005,6454.2681,"Opticians, dispensing",3520,29-2081,,
8500,42180.0892,23839.1262,18340.963,Cabinetmakers and bench carpenters,8500,51-7011,,
4640,41944.6583,41944.6583,0.0,Residential advisors,4640,39-9041,,
0900,41672.0499,35011.4326,6660.6173,Financial examiners,0900,13-2061,,
1022,41642.4145,22685.4972,18956.9173,Software quality assurance analysts and testers,1022,15-1253,,
9415,41586.6653,41586.6653,0.0,Passenger attendants,9415,53-6061,,
5020,41556.0526,32316.2745,9239.7781,Telephone operators,5020,43-2021,,
6765,41276.6566,35111.7083,6164.9483,Miscellaneous construction and related workers,6765,47-4090,,
6130,41091.0318,38381.6903,2709.3415,Logging workers,6130,45-4020,,
5150,40077.5639,35158.7525,4918.8114,Procurement clerks,5150,43-3061,,
1541,40028.669,34398.676400000004,5629.9926,Architectural and civil drafters,1541,17-3011,,
8830,39792.8111,35858.6924,3934.1187,Photographic process workers and processing machine operators,8830,51-9151,,
7510,39300.8986,35500.7498,3800.1488,"Coin, vending, and amusement machine servicers and repairers",7510,49-9091,,
8600,39265.7065,34033.6839,5232.0226,"Power plant operators, distributors, and dispatchers",8600,51-8010,,
3647,39258.5651,29919.0748,9339.4903,Pharmacy aides,3647,31-9095,,
1340,39037.5997,33525.0832,5512.5165,Bioengineers and biomedical engineers,1340,17-2031,,
9630,38758.2812,34348.71,4409.5712,Machine feeders and offbearers,9630,53-7063,,
3720,38748.033200000005,38748.033200000005,0.0,First-line supervisors of firefighting and prevention workers,3720,33-1021,,
9210,38723.8685,38723.8685,0.0,Locomotive engineers and operators,9210,53-4010,,
7740,38650.903600000005,36385.1523,2265.7513,Structural metal fabricators and fitters,7740,51-2041,,
7240,38431.5916,36105.5751,2326.0165,Small engine mechanics,7240,49-3050,,
9040,38103.9392,31959.3534,6144.5858,Air traffic controllers and airfield operations specialists,9040,53-2020,,
7120,38012.7501,27757.3605,10255.3896,Audiovisual equipment installers and repairers ,7120,49-2097,,
8630,37359.0221,31338.4266,6020.5955,Miscellaneous plant and system operators,8630,51-8090,,
5920,37248.2917,29391.6976,7856.5941,Statistical assistants,5920,43-9111,,
1560,37140.3177,32257.3384,4882.9793,Surveying and mapping technicians,1560,17-3031,,
9265,37060.6028,30921.9504,6138.6524,Other rail transportation workers,9265,53-40XX,,
1860,37002.8092,36390.9945,611.8147,Miscellaneous social scientists and related workers,1860,19-3090,,
5530,37000.9556,37000.9556,0.0,"Meter readers, utilities",5530,43-5041,,
6710,36937.6356,24344.0624,12593.5732,Fence erectors,6710,47-4031,,
2840,36758.2283,36758.2283,0.0,Technical writers,2840,27-3042,,
2015,35845.7445,35845.7445,0.0,Probation officers and correctional treatment specialists,2015,21-1092,,
9310,35814.7264,35814.7264,0.0,Ship and boat captains and operators,9310,53-5020,,
8555,35235.7775,28504.7938,6730.9837,Other woodworkers,8555,51-70XX,,
6850,35181.8014,35181.8014,0.0,Underground mining machine operators,6850,47-5040,,
2633,34715.4935,29425.9986,5289.4949,Floral designers,2633,27-1023,,
6040,34299.6119,13781.1677,20518.4442,"Graders and sorters, agricultural products",6040,45-2041,,
6825,33909.860499999995,19680.0452,14229.815299999998,"Earth drillers, except oil and gas",6825,47-5023,,
4940,33890.0629,31623.7234,2266.3395,Telemarketers,4940,41-9041,,
4900,33377.2103,33377.2103,0.0,"Models, demonstrators, and product promoters",4900,41-9010,,
3946,33279.5143,33279.5143,0.0,School bus monitors,3946,33-9094,,
4255,32605.5803,32605.5803,0.0,Other grounds maintenance workers,4255,37-301X,,
1840,32212.001,32212.001,0.0,Urban and regional planners,1840,19-3051,,
0830,32034.7067,26542.7153,5491.9914,Credit analysts,0830,13-2041,,
3270,32003.0588,30296.2293,1706.8295,"Healthcare diagnosing or treating practitioners, all other",3270,29-1299,,
1306,31073.9272,31073.9272,0.0,Landscape architects,1306,17-1012,,
6115,30437.815,24287.8516,6149.9634,Fishing and hunting workers,6115,45-3031,,
7160,30165.4208,30165.4208,0.0,Automotive glass installers and repairers,7160,49-3022,,
2862,30125.8871,30125.8871,0.0,Court reporters and simultaneous captioners,2862,27-3092,,
3750,30079.5938,30079.5938,0.0,Fire inspectors ,3750,33-2020,,
5900,30010.055,18279.8189,11730.2361,"Office machine operators, except computer",5900,43-9071,,
6600,29549.7269,20346.8782,9202.8487,"Helpers, construction trades",6600,47-3010,,
8310,29108.987,13997.0672,15111.9198,"Pressers, textile, garment, and related materials",8310,51-6021,,
1640,28816.8167,28816.8167,0.0,Conservation scientists and foresters,1640,19-1030,,
7300,28185.1747,28185.1747,0.0,Control and valve installers and repairers,7300,49-9010,,
9570,27776.8742,15861.7256,11915.1486,"Conveyor, dredge, and hoist and winch operators",9570,53-70XX,,
7730,27734.0794,27734.0794,0.0,Engine and other machine assemblers,7730,51-2031,,
8365,27345.6546,12878.0149,14467.6397,"Textile machine setters, operators, and tenders",8365,51-6060,,
8130,26934.9881,26934.9881,0.0,Tool and die makers,8130,51-4111,,
2755,26499.2591,26499.2591,0.0,"Disc jockeys, except radio ",2755,27-2091,,
3210,25869.767,25869.767,0.0,Recreational therapists,3210,29-1125,,
2440,25717.5936,25717.5936,0.0,Library technicians,2440,25-4031,,
4330,25700.0236,19909.0607,5790.9629,Supervisors of personal care and service workers,4330,39-1000,,
2723,25506.0307,25506.0307,0.0,"Umpires, referees, and other sports officials",2723,27-2023,,
1200,25192.8616,18370.629,6822.232599999999,Actuaries,1200,15-2011,,
8530,25162.584,22148.7843,3013.7997,"Sawing machine setters, operators, and tenders, wood",8530,51-7041,,
2013,24622.4905,24622.4905,0.0,Mental health and substance abuse social workers,2013,21-1023,,
4525,24597.9874,18201.8073,6396.1801,Other personal appearance workers,4525,39-509X,,
6120,24286.6028,24286.6028,0.0,Forest and conservation workers,6120,45-4011,,
9430,24251.5246,24251.5246,0.0,Other transportation workers,9430,53-60XX,,
8040,24161.8838,24161.8838,0.0,"Metal furnace operators, tenders, pourers, and casters",8040,51-4050,,
3840,23841.3877,23841.3877,0.0,Parking enforcement workers,3840,33-3041,,
2740,23523.1051,20280.3664,3242.7387,Dancers and choreographers,2740,27-2030,,
8730,23504.2454,22573.3875,930.8579,"Furnace, kiln, oven, drier, and kettle operators and tenders",8730,51-9051,,
7030,23433.0839,12695.6468,10737.4371,Avionics technicians,7030,49-2091,,
0425,22863.1405,22863.1405,0.0,Emergency management directors,0425,11-9161,,
6800,22561.4345,22561.4345,0.0,"Derrick, rotary drill, and service unit operators, oil and gas  ",6800,47-5010,,
5230,22337.850400000003,22337.850400000003,0.0,"Credit authorizers, checkers, and clerks",5230,43-4041,,
6460,22298.8509,7564.8662,14733.9847,Plasterers and stucco masons,6460,47-2161,,
6400,21814.6694,3123.3093,18691.3601,Insulation workers,6400,47-2130,,
8510,21723.008800000003,11353.4295,10369.5793,Furniture finishers,8510,51-7021,,
0135,21513.6819,21513.6819,0.0,Compensation and benefits managers,0135,11-3111,,
2005,21102.3287,11557.3339,9544.9948,Rehabilitation counselors,2005,21-1015,,
3256,20871.3474,20871.3474,0.0,Nurse anesthetists,3256,29-1151,,
6010,20725.0822,20725.0822,0.0,Agricultural inspectors,6010,45-2011,,
8450,20702.1146,14761.1729,5940.941699999999,Upholsterers,8450,51-6093,,
7100,20013.7725,20013.7725,0.0,"Electrical and electronics repairers, industrial and utility ",7100,49-209X,,
3261,19834.7451,14696.827,5137.9181,Acupuncturists,3261,29-1291,,
6360,19377.4283,7484.0205,11893.4078,Glaziers,6360,47-2121,,
2105,18812.9232,18073.9192,739.004,Judicial law clerks,2105,23-1012,,
6540,18597.1531,18597.1531,0.0,Solar photovoltaic installers,6540,47-2231,,
8720,18555.1655,18555.1655,0.0,"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",8720,51-9041,,
7560,18327.1007,16983.3733,1343.7274,Riggers,7560,49-9096,,
9110,18301.7679,14052.5576,4249.2103,"Ambulance drivers and attendants, except emergency medical technicians",9110,53-3011,,
5910,18221.9113,12795.6631,5426.2482,Proofreaders and copy markers,5910,43-9081,,
1700,17883.7776,13017.6103,4866.1673,Astronomers and physicists,1700,19-2010,,
4461,17175.572399999997,17175.572399999997,0.0,"Embalmers, crematory operators and funeral attendants",4461,39-40XX,,
7850,16818.6865,16818.6865,0.0,Food cooking machine operators and tenders,7850,51-3093,,
7925,16784.0219,16784.0219,0.0,"Forming machine setters, operators, and tenders, metal and plastic",7925,51-4020,,
8335,15628.8779,5787.5272,9841.3507,Shoe and leather workers,8335,51-6040,,
5500,15516.7479,15516.7479,0.0,Cargo and freight agents,5500,43-5011,,
1910,15171.649,15171.649,0.0,Biological technicians,1910,19-4021,,
3801,15066.2388,15066.2388,0.0,Bailiffs,3801,33-3011,,
7040,14832.6355,14832.6355,0.0,"Electric motor, power tool, and related repairers",7040,49-2092,,
2631,14109.9399,1817.434,12292.5059,Commercial and industrial designers,2631,27-1021,,
1440,13250.2609,13250.2609,0.0,Marine engineers and naval architects,1440,17-2121,,
6835,13083.196800000002,13083.196800000002,0.0,"Explosives workers, ordnance handling experts, and blasters",6835,47-5032,,
9300,13047.4309,13047.4309,0.0,Sailors and marine oilers,9300,53-5011,,
1520,12780.5274,12780.5274,0.0,Petroleum engineers,1520,17-2171,,
3140,12755.373,12755.373,0.0,Audiologists,3140,29-1181,,
6740,12678.7513,5466.4652,7212.286099999999,Rail-track laying and maintenance equipment operators,6740,47-4061,,
1800,12658.3067,7586.861,5071.4457,Economists,1800,19-3011,,
6720,12220.8165,2248.0569,9972.7596,Hazardous materials removal workers,6720,47-4041,,
3900,12148.6359,12148.6359,0.0,Animal control workers,3900,33-9011,,
0510,12003.8925,12003.8925,0.0,"Buyers and purchasing agents, farm products",0510,13-1021,,
1821,11583.4309,11153.8239,429.607,Clinical and counseling psychologists,1821,19-3033,,
8930,10684.6397,10684.6397,0.0,"Paper goods machine setters, operators, and tenders",8930,51-9196,,
3200,10534.5531,9486.2158,1048.3373,Radiation therapists,3200,29-1124,,
8465,10473.0372,6079.5384,4393.4988,"Other textile, apparel, and furnishings workers",8465,51-609X,,
2865,10319.6257,10319.6257,0.0,"Media and communication workers, all other",2865,27-3099,,
1600,10200.8621,10200.8621,0.0,Agricultural and food scientists,1600,19-1010,,
7830,9844.6861,9844.6861,0.0,"Food and tobacco roasting, baking, and drying machine operators and tenders",7830,51-3091,,
9650,9496.477,9496.477,0.0,Pumping station operators,9650,53-7070,,
7610,9236.5581,5478.0075,3758.5506,"Helpers--installation, maintenance, and repair workers",7610,49-9098,,
1935,8589.2889,8589.2889,0.0,Environmental  science and geoscience technicians,1935,19-4040,,
6210,8170.992999999999,8170.992999999999,0.0,Boilermakers,6210,47-2011,,
2805,7789.8971,7789.8971,0.0,Broadcast announcers and radio disc jockeys,2805,27-3011,,
1710,7267.7031,7267.7031,0.0,Atmospheric and space scientists,1710,19-2021,,
5340,6451.3915,4623.1797,1828.2118,New accounts clerks,5340,43-4141,,
3120,5896.3688,5896.3688,0.0,Podiatrists,3120,29-1081,,
8256,5800.3463,5800.3463,0.0,Print binding and finishing workers,8256,51-5113,,
4160,5619.6945,0.0,5619.6945,"Food preparation and serving related workers, all other",4160,35-9099,,
5010,5303.6525,5303.6525,0.0,"Switchboard operators, including answering service",5010,43-2011,,
9840,4163.7742,0.0,4163.7742,,,,,Armed Forces (military)
8250,1747.4602,1747.4602,0.0,Prepress technicians and workers,8250,51-5111,,
8025,1143.6786,1143.6786,0.0,"Other machine tool setters, operators, and tenders, metal and plastic",8025,51-403X,,
8910,658.0215,658.0215,0.0,Etchers and engravers,8910,51-9194,,
