onet_soc_code,synonyms,tasks
35-1011.00,"Chef, Cook, Executive Chef (Ex Chef), Sous Chef","Direct and may participate in the preparation, seasoning, and cooking of salads, soups, fish, meats, vegetables, desserts, or other foods. May plan and price menu items, order supplies, and keep records and accounts."
27-3011.00,"Anchor, Announcer, News Anchor, Television News Anchor (TV News Anchor)","Speak or read from scripted materials, such as news reports or commercial messages, on radio, television, or other communications media. May play and queue music, announce artist or title of performance, identify station, or interview guests."
51-9032.00,"Cutter, Cutter Operator, Machine Operator, Paper Cutter","Set up, operate, or tend machines that cut or slice materials, such as glass, stone, cork, rubber, tobacco, food, paper, or insulating material."
29-1299.00,"We're sorry, the requested page could not be found. Please try the following:",
17-2051.01,"Engineer, Project Engineer, Traffic Engineer, Transportation Engineer","Develop plans for surface transportation projects, according to established engineering standards and state or federal construction policy. Prepare designs, specifications, or estimates for transportation facilities. Plan modifications of existing streets, highways, or freeways to improve traffic flow."
29-1223.00,"Child Psychiatrist, Outpatient Psychiatrist, Psychiatrist, Staff Psychiatrist","Diagnose, treat, and help prevent mental disorders."
51-4193.00,"Anodizer, Chrome Plater, Electro Plater, Plater","Set up, operate, or tend plating machines to coat metal or plastic products with chromium, zinc, copper, cadmium, nickel, or other metal to protect or decorate surfaces. Typically, the product being coated is immersed in molten metal or an electrolytic solution."
17-2199.07,"Laser Engineer, Optical Design Engineer, Optical Engineer, Optical Systems Engineer","Design technologies specializing in light information or light energy, such as laser or fiber optics technology."
29-1051.00,"Clinical Pharmacist, Hospital Pharmacist, Pharm D (Pharmacy Doctor), Pharmacist in Charge (PIC)","Dispense drugs prescribed by physicians and other health practitioners and provide information to patients about medications and their use. May advise physicians and other health practitioners on the selection, dosage, interactions, and side effects of medications."
53-6021.00,"Parking Attendant, Parking Lot Attendant, Valet Attendant, Valet Parker",Park vehicles or issue tickets for customers in a parking lot or garage. May park or tend vehicles in environments such as a car dealership or rental car facility. May collect fee.
25-1192.00,"Assistant Professor, Associate Professor, Instructor, Professor","Teach courses in childcare, family relations, finance, nutrition, and related subjects pertaining to home management. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
29-2061.00,"Charge Nurse, Clinic Nurse, Licensed Vocational Nurse (LVN), Pediatric LPN (Pediatric Licensed Practical Nurse)","Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required."
27-1019.00,"We're sorry, the requested page could not be found. Please try the following:",
49-9071.00,"Facilities Technician, Maintenance Engineer, Maintenance Mechanic, Maintenance Technician","Perform work involving the skills of two or more maintenance or craft occupations to keep machines, mechanical equipment, or the structure of a building in repair. Duties may involve pipe fitting; HVAC maintenance; insulating; welding; machining; carpentry; repairing electrical or mechanical equipment; installing, aligning, and balancing new equipment; and repairing buildings, floors, or stairs."
25-4031.00,"Library Assistant, Library Associate, Library Technical Assistant (LTA), Library Technician","Assist librarians by helping readers in the use of library catalogs, databases, and indexes to locate books and other materials; and by answering questions that require only brief consultation of standard reference. Compile records; sort and shelve books or other media; remove or repair damaged books or other media; register patrons; and check materials in and out of the circulation process. Replace materials in shelving area (stacks) or files. Includes bookmobile drivers who assist with providing services in mobile libraries."
25-1113.00,"Assistant Professor, Professor, Social Work Associate Professor, Social Work Professor",Teach courses in social work. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research.
49-9062.00,"Biomedical Electronics Technician (Biomed Electronics Tech), Biomedical Equipment Technician (BMET), Biomedical Technician (Biomed Tech), Service Technician (Service Tech)","Test, adjust, or repair biomedical or electromedical equipment."
19-3091.00,"Archaeologist, Communication and Folklore Specialist, Forensic Anthropologist, Researcher","Study the origin, development, and behavior of human beings. May study the way of life, language, or physical characteristics of people in various parts of the world. May engage in systematic recovery and examination of material evidence, such as tools or pottery remaining from past human cultures, in order to determine the history, customs, and living habits of earlier civilizations."
13-1082.00,,"Analyze and coordinate the schedule, timeline, procurement, staffing, and budget of a product or service on a per project basis. Lead and guide the work of technical staff. May serve as a point of contact for the client or customer."
29-2011.02,"Cytologist, Cytology Applications Specialist, Cytology Coordinator, Cytotechnologist","Stain, mount, and study cells to detect evidence of cancer, hormonal abnormalities, and other pathological conditions following established standards and practices."
29-1128.00,"Clinical Exercise Physiologist, Exercise Physiologist, Exercise Specialist, Lifestyle and Weight Management Consultant","Assess, plan, or implement fitness programs that include exercise or physical activities such as those designed to improve cardiorespiratory function, body composition, muscular strength, muscular endurance, or flexibility."
19-4021.00,"Biological Technician, Laboratory Technician, Research Associate, Research Technician","Assist biological and medical scientists. Set up, operate, and maintain laboratory instruments and equipment, monitor experiments, collect data and samples, make observations, and calculate and record results. May analyze organic substances, such as blood, food, and drugs."
29-1224.00,"Diagnostic Radiologist, Nuclear Medicine Physician, Physician, Radiologist","Diagnose and treat diseases and injuries using medical imaging techniques, such as x rays, magnetic resonance imaging (MRI), nuclear medicine, and ultrasounds. May perform minimally invasive medical procedures and tests."
43-5061.00,"Expeditor, Materials Planner, Production Planner, Production Scheduler","Coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems."
31-1122.00,"Caregiver, Home Care Aide, Personal Care Aide, Personal Care Attendant (PCA)","Provide personalized assistance to individuals with disabilities or illness who require help with personal care and activities of daily living support (e.g., feeding, bathing, dressing, grooming, toileting, and ambulation). May also provide help with tasks such as preparing meals, doing light housekeeping, and doing laundry. Work is performed in various settings depending on the needs of the care recipient and may include locations such as their home, place of work, out in the community, or at a daytime nonresidential facility."
29-2034.00,"Computed Tomography Technologist (CT Tech), Radiographer, Radiologic Technologist (RT), X-Ray Technologist (X-Ray Tech)",Take x-rays and CAT scans or administer nonradioactive materials into patient's bloodstream for diagnostic or research purposes. Includes radiologic technologists and technicians who specialize in other scanning modalities.
53-6061.00,"Bus Aide, Bus Assistant, Bus Attendant, Bus Monitor","Provide services to ensure the safety of passengers aboard ships, buses, trains, or within the station or terminal. Perform duties such as explaining the use of safety equipment, serving meals or beverages, or answering questions related to travel."
53-7041.00,"Hoist Operator, Hoistman, Material Handler, Service Operator",Operate or tend hoists or winches to lift and pull loads using power-operated cable equipment.
27-2012.05,"News Technical Director, Production Director, Production Manager, Technical Director","Coordinate activities of technical departments, such as taping, editing, engineering, and maintenance, to produce radio or television programs."
17-2112.02,"Quality Assurance Engineer, Quality Engineer, Quality Management Systems Engineer, Supplier Quality Engineer","Design or plan protocols for equipment or processes to produce products meeting internal and external purity, safety, and quality requirements."
23-1023.00,"District Court Judge, Judge, Magistrate, Superior Court Judge","Arbitrate, advise, adjudicate, or administer justice in a court of law. May sentence defendant in criminal cases according to government statutes or sentencing guidelines. May determine liability of defendant in civil cases. May perform wedding ceremonies."
47-4011.00,"Building Code Administrator, Building Inspector, Building Official, Construction Inspector","Inspect structures using engineering skills to determine structural soundness and compliance with specifications, building codes, and other regulations. Inspections may be general in nature or may be limited to a specific area, such as electrical systems or plumbing."
21-1013.00,"Clinical Therapist, Licensed Marriage and Family Therapist (LMFT), Marriage and Family Therapist (MFT), Outpatient Therapist","Diagnose and treat mental and emotional disorders, whether cognitive, affective, or behavioral, within the context of marriage and family systems. Apply psychotherapeutic and family systems theories and techniques in the delivery of services to individuals, couples, and families for the purpose of treating such diagnosed nervous and mental disorders."
47-2152.00,"Pipefitter, Plumber, Sprinkler Fitter, Steamfitter","Assemble, install, alter, and repair pipelines or pipe systems that carry water, steam, air, or other liquids or gases. May install heating and cooling equipment and mechanical control systems. Includes sprinkler fitters."
11-3051.03,"Biofuels Production Manager, Plant Manager, Production Coordinator, Production Manager","Manage biofuels production and plant operations. Collect and process information on plant production and performance, diagnose problems, and design corrective procedures."
29-1249.00,"We're sorry, the requested page could not be found. Please try the following:",
45-4021.00,"Logger, Timber Cutter, Timber Faller, Tree Faller",Use axes or chainsaws to fell trees using knowledge of tree characteristics and cutting techniques to control direction of fall and minimize tree damage.
11-9041.01,"Analytical Research Program Manager, Biodiesel Division Manager, Laboratory Manager (Lab Manager), Project Development Director","Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential."
17-2141.00,"Design Engineer, Mechanical Engineer, Product Engineer, Project Engineer","Perform engineering duties in planning and designing tools, engines, machines, and other mechanically functioning equipment. Oversee installation, operation, maintenance, and repair of equipment such as centralized heat, gas, water, and steam systems."
47-5011.00,"Derrick Hand, Derrick Man, Derrick Operator, Floor Hand",Rig derrick equipment and operate pumps to circulate mud or fluid through drill hole.
29-1218.00,"MD (Medical Doctor), OBGYN (Obstetrician and Gynecologist), OBGYN Physician (Obstetrics and Gynecology Physician), Physician","Provide medical care related to pregnancy or childbirth. Diagnose, treat, and help prevent diseases of women, particularly those affecting the reproductive system. May also provide general care to women. May perform both medical and gynecological surgery functions."
53-4022.00,"Brakeman, Locomotive Switch Operator, Railroad Switchman, Trainman","Operate or monitor railroad track switches or locomotive instruments. May couple or uncouple rolling stock to make up or break up trains. Watch for and relay traffic signals. May inspect couplings, air hoses, journal boxes, and hand brakes. May watch for dragging equipment or obstacles on rights-of-way."
43-9051.00,"Mail Clerk, Mail Handler, Mail Machine Operator, Postal Clerk","Prepare incoming and outgoing mail for distribution. Time-stamp, open, read, sort, and route incoming mail; and address, seal, stamp, fold, stuff, and affix postage to outgoing mail or packages. Duties may also include keeping necessary records and completed forms."
25-1041.00,"Agriculture Professor, Associate Professor, Instructor, Professor","Teach courses in the agricultural sciences. Includes teachers of agronomy, dairy sciences, fisheries management, horticultural sciences, poultry sciences, range management, and agricultural soil conservation. Includes both teachers primarily engaged in teaching and those who do a combination of teaching and research."
17-3027.01,"Laboratory Technician (Lab Technician), Research Technician","Assist engineers in determining the practicality of proposed product design changes and plan and carry out tests on experimental test devices or equipment for performance, durability, or efficiency."
47-5099.00,"We're sorry, the requested page could not be found. Please try the following:",
49-2093.00,"Critical Systems Technician, Electronic Bench Technician, Locomotive Electrician, Power Technician (Power Tech)","Install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment."
27-1011.00,"Art Director, Creative Director (CD Director), Creative Services Director, Design Director","Formulate design concepts and presentation approaches for visual productions and media, such as print, broadcasting, video, and film. Direct workers engaged in artwork or layout design."
51-9012.00,"Brewer, Cellar Worker, Machine Tender, Pulper Operator","Set up, operate, or tend continuous flow or vat-type equipment; filter presses; shaker screens; centrifuges; condenser tubes; precipitating, fermenting, or evaporating tanks; scrubbing towers; or batch stills. These machines extract, sort, or separate liquids, gases, or solids from other materials to recover a refined product. Includes dairy processing equipment operators."
15-2041.00,"Database Analyst, Mathematical Statistician, Statistical Analyst, Statistician","Develop or apply mathematical or statistical theory and methods to collect, organize, interpret, and summarize numerical data to provide usable information. May specialize in fields such as biostatistics, agricultural statistics, business statistics, or economic statistics. Includes mathematical and survey statisticians."
29-1031.00,"Clinical Dietitian, Dietitian, Nutritionist, Registered Dietitian","Plan and conduct food service or nutritional programs to assist in the promotion of health and control of disease. May supervise activities of a department providing quantity food services, counsel individuals, or conduct nutritional research."
53-7072.00,"Outside Operator, Pipeline Operator, Pumper, Tank Farm Operator","Tend, control, or operate power-driven, stationary, or portable pumps and manifold systems to transfer gases, oil, other liquids, slurries, or powdered materials to and from various vessels and processes."
33-3041.00,"Parking Control Officer, Parking Enforcement Officer (PEO), Parking Enforcer, Ticket Writer","Patrol assigned area, such as public parking lot or city streets to issue tickets to overtime parking violators and illegally parked vehicles."
11-9199.08,"Asset Protection Manager, Loss Prevention Director, Loss Prevention Manager, Loss Prevention Operations Manager","Plan and direct policies, procedures, or systems to prevent the loss of assets. Determine risk exposure or potential liability, and develop risk control measures."
21-1023.00,"Case Manager, Mental Health Therapist, Social Worker, Therapist","Assess and treat individuals with mental, emotional, or substance abuse problems, including abuse of alcohol, tobacco, and/or other drugs. Activities may include individual and group therapy, crisis intervention, case management, client advocacy, prevention, and education."
15-1255.01,"Design Director, Designer, Game Designer, World Designer","Design core features of video games. Specify innovative game and role-play mechanics, story lines, and character biographies. Create and maintain design documentation. Guide and collaborate with production staff to produce games as designed."
39-6012.00,"Chef Concierge, Club Concierge, Guest Service Agent, Hotel Concierge","Assist patrons at hotel, apartment, or office building with personal services. May take messages; arrange or give advice on transportation, business services, or entertainment; or monitor guest requests for housekeeping and maintenance."
41-3031.00,"Broker, Equity Trader, Financial Advisor, Financial Consultant","Buy and sell securities or commodities in investment and trading firms, or provide financial services to businesses and individuals. May advise customers about stocks, bonds, mutual funds, commodities, and market conditions."
51-2011.00,"Assembler, Sheet Metal Assembler and Riveter (SMAR), Sheet Metal Mechanic, Structures Technician","Assemble, fit, fasten, and install parts of airplanes, space vehicles, or missiles, such as tails, wings, fuselage, bulkheads, stabilizers, landing gear, rigging and control equipment, or heating and ventilating systems."
11-3051.02,"Plant Manager, Plant Supervisor, Power Plant Operations Manager",Manage operations at geothermal power generation facilities. Maintain and monitor geothermal plant equipment for efficient and safe plant operations.
19-1041.00,"Epidemiologist, Infection Control Practitioner (ICP), Nurse Epidemiologist, Research Epidemiologist","Investigate and describe the determinants and distribution of disease, disability, or health outcomes. May develop the means for prevention and control."
19-3094.00,,"Study the origin, development, and operation of political systems. May study topics, such as public opinion, political decisionmaking, and ideology. May analyze the structure and operation of governments, as well as various political entities. May conduct public opinion surveys, analyze election results, or analyze public documents."
51-4023.00,"Mill Operator, Rolling Mill Operator, Roughing Mill Operator, Tube Mill Operator","Set up, operate, or tend machines to roll steel or plastic forming bends, beads, knurls, rolls, or plate, or to flatten, temper, or reduce gauge of material."
13-1041.03,"Affirmative Action Officer (AA Officer), Civil Rights Investigator, Equal Employment Opportunity Officer (EEO Officer), Equal Opportunity Specialist","Monitor and evaluate compliance with equal opportunity laws, guidelines, and policies to ensure that employment practices and contracting arrangements give equal opportunity without regard to race, religion, color, national origin, sex, age, or disability."
53-4011.00,"Locomotive Engineer, Passenger Locomotive Engineer, Railroad Engineer, Transportation Specialist","Drive electric, diesel-electric, steam, or gas-turbine-electric locomotives to transport passengers or freight. Interpret train orders, electronic or manual signals, and railroad rules and regulations."
41-9012.00,"Art Model, Artist's Model, Figure Model, Model","Model garments or other apparel and accessories for prospective buyers at fashion shows, private showings, or retail establishments. May pose for photos to be used in magazines or advertisements. May pose as subject for paintings, sculptures, and other types of artistic expression."
19-2041.03,"Ecologist, Environmental Consultant, Environmental Protection Agency Counselor, Research Scientist",Apply principles and processes of natural ecosystems to develop models for efficient industrial systems. Use knowledge from the physical and social sciences to maximize effective use of natural resources in the production and use of goods and services. Examine societal issues and their relationship with both technical systems and the environment.
43-5011.01,"Air Export Agent, Air Export Coordinator, Freight Forwarder, GSA Coordinator (General Services Administration Coordinator)","Research rates, routings, or modes of transport for shipment of products. Maintain awareness of regulations affecting the international movement of cargo. Make arrangements for additional services, such as storage or inland transportation."
51-9051.00,"Dry Kiln Operator, Furnace Operator, Kiln Fireman, Kiln Operator","Operate or tend heating equipment other than basic metal, plastic, or food processing equipment. Includes activities such as annealing glass, drying lumber, curing rubber, removing moisture from materials, or boiling soap."
11-9199.11,"Brownfield Program Director, Brownfield Redevelopment Coordinator, Brownfields Practice Leader, Environmental Program Manager",Plan and direct cleanup and redevelopment of contaminated properties for reuse. Does not include properties sufficiently contaminated to qualify as Superfund sites.
43-6013.00,"Medical Receptionist, Medical Secretary, Unit Clerk, Unit Support Representative","Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence."
49-3051.00,"Marine Mechanic, Marine Technician, Mechanic, Service Technician",Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.
15-1241.00,"Computer Network Technologist, Network Analyst, Solutions Architect, Systems Engineer","Design and implement computer and information networks, such as local area networks (LAN), wide area networks (WAN), intranets, extranets, and other data communications networks. Perform network modeling, analysis, and planning, including analysis of capacity needs for network infrastructures. May also design network and computer security measures. May research and recommend network and data communications hardware and software."
25-9021.00,"4-H Youth Development Specialist, Extension Agent, Extension Educator, Family and Consumer Sciences Extension Agent","Instruct and advise individuals and families engaged in agriculture, agricultural-related processes, or home management activities. Demonstrate procedures and apply research findings to advance agricultural and home management activities. May develop educational outreach programs. May instruct on either agricultural issues such as agricultural processes and techniques, pest management, and food safety, or on home management issues such as budgeting, nutrition, and child development."
51-5113.00,"Binder Operator, Bindery Operator, Bindery Worker, Book Binder",Bind books and other publications or finish printed products by hand or machine. May set up binding and finishing machines.
29-9092.00,"Certified Genetic Counselor, Genetic Counselor, Prenatal and Pediatric Genetic Counselor, Reproductive Genetic Counseling Coordinator","Assess individual or family risk for a variety of inherited conditions, such as genetic disorders and birth defects. Provide information to other healthcare providers or to individuals and families concerned with the risk of inherited conditions. Advise individuals and families to support informed decisionmaking and coping methods for those at risk. May help conduct research related to genetic conditions or genetic counseling."
43-4171.00,"Front Desk Receptionist, Greeter, Office Assistant, Receptionist","Answer inquiries and provide information to the general public, customers, visitors, and other interested parties regarding activities conducted at establishment and location of departments, offices, and employees within the organization."
17-2081.00,"Engineer, Environmental Engineer, Environmental Remediation Specialist, Sanitary Engineer","Research, design, plan, or perform engineering duties in the prevention, control, and remediation of environmental hazards using various engineering disciplines. Work may include waste treatment, site remediation, or pollution control technology."
51-9023.00,"Blender, Machine Operator, Mixer, Mixer Operator","Set up, operate, or tend machines to mix or blend materials, such as chemicals, tobacco, liquids, color pigments, or explosive ingredients."
53-1049.00,"We're sorry, the requested page could not be found. Please try the following:",
53-3031.00,"Driver, Driver Salesman, Route Driver, Route Salesman","Drive truck or other vehicle over established routes or within an established territory and sell or deliver goods, such as food products, including restaurant take-out items, or pick up or deliver items such as commercial laundry. May also take orders, collect payment, or stock merchandise at point of delivery."
25-3099.00,"We're sorry, the requested page could not be found. Please try the following:",
49-2021.00,"Radio Frequency Technician (RF Tech), Radio Technician (Radio Tech), Tower Technician (Tower Tech), Two-Way Radio Technician (Two-Way Radio Tech)","Repair, install, or maintain mobile or stationary radio transmitting, broadcasting, and receiving equipment, and two-way radio communications systems used in cellular telecommunications, mobile broadband, ship-to-shore, aircraft-to-ground communications, and radio equipment in service and emergency vehicles. May test and analyze network coverage."
43-5032.00,"City Dispatcher, Dispatcher (Dispatch), Taxi Dispatcher, Train Dispatcher","Schedule and dispatch workers, work crews, equipment, or service vehicles for conveyance of materials, freight, or passengers, or for normal installation, service, or emergency repairs rendered outside the place of business. Duties may include using radio, telephone, or computer to transmit assignments and compiling statistics and reports on work progress."
17-2041.00,"Chemical Engineer, Engineer, Process Engineer, Scientist","Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
39-5091.00,"Hair and Makeup Designer, Makeup Artist, Special Effects Makeup Artist, Special Makeup Effects Artist","Apply makeup to performers to reflect period, setting, and situation of their role."
15-1299.06,,"Conduct investigations on computer-based crimes establishing documentary or physical evidence, such as digital media and logs associated with cyber intrusion incidents. Analyze digital evidence and investigate computer security incidents to derive information in support of system and network vulnerability mitigation. Preserve and present computer-related evidence in support of criminal, fraud, counterintelligence, or law enforcement investigations."
27-2012.04,"Artistic Director, Casting Agent, Casting Coordinator, Casting Director","Audition and interview performers to select most appropriate talent for parts in stage, television, radio, or motion picture productions."
53-6032.00,,"Service aircraft with fuel. May de-ice aircraft, refill water and cooling agents, empty sewage tanks, service air and oxygen systems, or clean and polish exterior."
51-4081.00,"Cell Technician, CNC Machine Setter (Computer Numerically Controlled Machine Setter), Machine Operator, Machine Technician","Set up, operate, or tend more than one type of cutting or forming machine tool or robot."
17-3011.00,"Architectural Drafter, Civil Drafter, Computer-Aided Drafting Designer (CAD Designer), Draftsman","Prepare detailed drawings of architectural and structural features of buildings or drawings and topographical relief maps used in civil engineering projects, such as highways, bridges, and public works. Use knowledge of building materials, engineering practices, and mathematics to complete drawings."
11-3071.00,"Distribution Center Manager, Fleet Manager, Logistics Operations Manager, Supply Chain Logistics Manager","Plan, direct, or coordinate transportation, storage, or distribution activities in accordance with organizational policies and applicable government laws or regulations. Includes logistics managers."
11-2011.00,"Advertising Manager (Ad Manager), Communications Manager, Promotions Director, Promotions Manager","Plan, direct, or coordinate advertising policies and programs or produce collateral materials, such as posters, contests, coupons, or giveaways, to create extra interest in the purchase of a product or service for a department, an entire organization, or on an account basis."
31-9099.02,"Certified Endo Tech (Certified Endoscopy Technician), Certified Flexible Endoscope Reprocessor (CFER), Endoscopy Technician (Endoscopy Tech), GI Tech (Gastrointestinal Technician)",Maintain a sterile field to provide support for physicians and nurses during endoscopy procedures. Prepare and maintain instruments and equipment. May obtain specimens.
51-9162.00,"CAD CAM Programmer (Computer-Aided Design Computer-Aided Manufacturing Programmer), Computer Numerical Control Machinist (CNC Machinist), Computer Numerical Control Programmer (CNC Programmer), Programmer","Develop programs to control machining or processing of materials by automatic machine tools, equipment, or systems. May also set up, operate, or maintain equipment."
29-1129.02,"Board Certified Music Therapist (MT-BC), LCAT (Licensed Creative Arts Therapist), Music Therapist, Neurologic Music Therapist","Plan, organize, direct, or assess clinical and evidenced-based music therapy interventions to positively influence individuals' physical, psychological, cognitive, or behavioral status."
17-2199.08,"Automation Engineer, Autonomous Vehicle Design Engineer, Design Engineer, Factory Automations Engineer","Research, design, develop, or test robotic applications."
29-1299.02,"Certified Orthoptist, Clinical Orthoptist (CO), Orthoptist",Diagnose and treat visual system disorders such as binocular vision and eye movement impairments.
43-4061.00,"Eligibility Specialist, Eligibility Worker, Social Welfare Examiner (SWEX), Workforce Services Representative (WSR)","Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
43-3071.00,"Bank Teller, Financial Services Representative (FSR), Member Services Representative, Teller",Receive and pay out money. Keep records of money and negotiable instruments involved in a financial institution's various transactions.
45-4022.00,"Loader Operator, Logging Equipment Operator, Skidder Driver, Skidder Operator","Drive logging tractor or wheeled vehicle equipped with one or more accessories, such as bulldozer blade, frontal shear, grapple, logging arch, cable winches, hoisting rack, or crane boom, to fell tree; to skid, load, unload, or stack logs; or to pull stumps or clear brush. Includes operating stand-alone logging machines, such as log chippers."
27-3043.05,"Author, Freelance Writer, Novelist, Songwriter","Create original written works, such as scripts, essays, prose, poetry or song lyrics, for publication or performance."
51-9141.00,"Diffusion Operator, Manufacturing Technician, Process Technician, Wafer Fabrication Operator","Perform any or all of the following functions in the manufacture of electronic semiconductors: load semiconductor material into furnace; saw formed ingots into segments; load individual segment into crystal growing chamber and monitor controls; locate crystal axis in ingot using x-ray equipment and saw ingots into wafers; and clean, polish, and load wafers into series of special purpose furnaces, chemical baths, and equipment used to form circuitry and change conductive properties."
29-1024.00,"DDS (Doctor of Dental Surgery), Denturist, Maxillofacial Prosthodontist, Prosthodontist","Diagnose, treat, rehabilitate, design, and fit prostheses that maintain oral function, health, and appearance for patients with clinical conditions associated with teeth, oral and maxillofacial tissues, or the jaw."
29-2012.00,"Laboratory Assistant (Lab Assistant), Laboratory Technician (Lab Tech), Medical Laboratory Technician (MLT), Medical Laboratory Technicians (Medical Lab Technician)","Perform routine medical laboratory tests for the diagnosis, treatment, and prevention of disease. May work under the supervision of a medical technologist."
13-2099.04,"Certified Fraud Examiner (CFE), Forensic Accountant, Investigator, Special Investigations Unit Investigator (SIU Investigator)","Obtain evidence, take statements, produce reports, and testify to findings regarding resolution of fraud allegations. May coordinate fraud detection and prevention activities."
29-2099.01,"Certified Neurodiagnostic Technologist, Electroneurodiagnostic Technologist (END Technologist), Registered Electroencephalogram Technologist (Registered EEG Tech), Registered Polysomnographic Technologist (RPSGT)","Conduct electroneurodiagnostic (END) tests such as electroencephalograms, evoked potentials, polysomnograms, or electronystagmograms. May perform nerve conduction studies."
47-2131.00,"Insulation Estimator, Insulation Installer, Insulator, Retrofit Installer","Line and cover structures with insulating materials. May work with batt, roll, or blown insulation materials."
49-3021.00,"Auto Body Man, Automotive Body Technician (Auto Body Tech), Body Man, Body Technician (Body Tech)",Repair and refinish automotive vehicle bodies and straighten vehicle frames.
39-9041.00,"Residence Hall Director, Residence Life Director, Resident Assistant, Resident Director","Coordinate activities in resident facilities in secondary school and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources."
19-1029.04,"Biologist, Research Biologist, Research Scientist, Scientist","Research or study basic principles of plant and animal life, such as origin, relationship, development, anatomy, and functions."
53-3032.00,"Driver, Line Haul Driver, Over the Road Driver (OTR Driver), Truck Driver","Drive a tractor-trailer combination or a truck with a capacity of at least 26,001 pounds Gross Vehicle Weight (GVW). May be required to unload truck. Requires commercial drivers' license. Includes tow truck drivers."
29-2051.00,"Diet Tech (Dietetic Technician), Diet Technician Registered (DTR), Dietary Aide, Nutrition Technician","Assist in the provision of food service and nutritional programs, under the supervision of a dietitian. May plan and produce meals based on established guidelines, teach principles of food and nutrition, or counsel individuals."
55-1017.00,"We're sorry, the requested page could not be found. Please try the following:",
51-7011.00,"Cabinet Assembler, Cabinet Installer, Cabinetmaker, Frame Builder","Cut, shape, and assemble wooden articles or set up and operate a variety of woodworking machines, such as power saws, jointers, and mortisers to surface, cut, or shape lumber or to fabricate parts for wood products."
35-9031.00,"Buffet Hostess, Greeter, Host, Hostess","Welcome patrons, seat them at tables or in lounge, and help ensure quality of facilities and service."
51-4191.00,"Furnace Operator, Heat Treat Operator, Heat Treat Technician, Heat Treater","Set up, operate, or tend heating equipment, such as heat-treating furnaces, flame-hardening machines, induction machines, soaking pits, or vacuum equipment to temper, harden, anneal, or heat treat metal or plastic objects."
47-2053.00,"Terrazzo Finisher, Terrazzo Installer, Terrazzo Tile Setter, Terrazzo Worker","Apply a mixture of cement, sand, pigment, or marble chips to floors, stairways, and cabinet fixtures to fashion durable and decorative surfaces."
55-3016.00,"We're sorry, the requested page could not be found. Please try the following:",
19-4051.02,"Health Physics Technician (HP Tech), Radiation Protection Specialist (RP Specialist), Radiation Protection Technician (RPT), Radiochemical Technician","Collect and test samples to monitor results of nuclear experiments and contamination of humans, facilities, and environment."
29-1141.01,"Cardiac Interventional Care Nurse, Charge Nurse, Progressive Care Unit RN (Progressive Care Unit Registered Nurse), Staff Nurse","Provide advanced nursing care for patients with acute conditions such as heart attacks, respiratory distress syndrome, or shock. May care for pre- and post-operative patients or perform advanced, invasive diagnostic or therapeutic procedures."
33-9091.00,"Adult Crossing Guard, Community Service Officer, Crossing Guard, School Crossing Guard","Guide or control vehicular or pedestrian traffic at such places as streets, schools, railroad crossings, or construction sites."
27-2011.00,"Actor, Actress, Comedian, Performer","Play parts in stage, television, radio, video, or film productions, or other settings for entertainment, information, or instruction. Interpret serious or comic role by speech, gesture, and body movement to entertain or inform audience. May dance and sing."
19-4012.01,"Agronomist, Crop Specialist, Precision Agriculture Specialist (Precision Ag Specialist), Precision Agronomist","Apply geospatial technologies, including geographic information systems (GIS) and Global Positioning System (GPS), to agricultural production or management activities, such as pest scouting, site-specific pesticide application, yield mapping, or variable-rate irrigation. May use computers to develop or analyze maps or remote sensing images to compare physical topography with data on soils, fertilizer, pests, or weather."
15-1299.03,"Document Control Manager, ECM Consultant (Enterprise Content Management Consultant), Electronic Content Manager, Records Manager","Implement and administer enterprise-wide document management systems and related procedures that allow organizations to capture, store, retrieve, share, and destroy electronic records and documents."
